	Movie	Month	Day	Release Year	Budget($M)	Domestic Gross($M)	Worldwide Gross($M)	URL	Language	Country	Genre	CastID	Rating	DirectorID
2954	The Boys from Brazil	Jan	1	1978	12.0	19.0	19.0	/title/tt0077269/?ref_=fn_al_tt_1	['English']	['Japan']	['Drama', 'Thriller']	['nm0000060/', 'nm0000059/', 'nm0000051/', 'nm0658339/', 'nm0353467/', 'nm0000430/', 'nm0001186/', 'nm0365281/', 'nm0215000/', 'nm0748270/']	7.3	nm0001355
2955	The Upside of Anger	Mar	11	2005	12.0	18.761993	28.915761	/title/tt0365885/?ref_=fn_al_tt_1	['Chinese']	['Canada']	['Comedy', 'Drama']	['nm0000260/', 'nm0000126/', 'nm0159776/', 'nm0005392/', 'nm0001860/', 'nm0939697/', 'nm0082802/', 'nm0363990/', 'nm1591458/', 'nm0916073/']	7.3	nm0001716
2956	Aquamarine	Mar	3	2006	12.0	18.597342	22.978953	/title/tt0429591/?ref_=fn_al_tt_1	['English', 'Russian']	['China']	['Comedy', 'Family', 'Fantasy']	['nm0731075/', 'nm1685658/', 'nm0668139/', 'nm1416330/', 'nm0444223/', 'nm0440286/', 'nm0817748/', 'nm0839730/', 'nm0006355/', 'nm0086611/']	6.9	nm0376664
2957	Nebraska	Nov	15	2013	12.0	17.654912	24.76136	/title/tt1821549/?ref_=fn_al_tt_1	['Japanese', 'English']	['UK', 'USA']	['Adventure', 'Comedy', 'Drama']	['nm0001136/', 'nm0287182/', 'nm0820053/', 'nm0644022/', 'nm0005078/', 'nm0933840/', 'nm0397555/', 'nm0238063/', 'nm0711864/', 'nm1800658/']	6.0	nm0001226
2958	My Baby's Daddy	Jan	9	2004	12.0	17.321573	17.322212	/title/tt0332712/?ref_=fn_al_tt_1	['English']	['Japan']	['Comedy']	['nm0341176/', 'nm0026364/', 'nm0408284/', 'nm0005294/', 'nm0045214/', 'nm0000499/', 'nm0859720/', 'nm1442928/', 'nm0293360/', 'nm0804460/']	4.6	nm0379179
2959	Max Keeble's Big Move	Oct	5	2001	12.0	17.292381	17.292381	/title/tt0273799/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy', 'Crime', 'Family']	['nm0513281/', 'nm0588777/', 'nm0005085/', 'nm0340720/', 'nm0669681/', 'nm0004887/', 'nm0001019/', 'nm0204389/', 'nm0384032/', 'nm0279720/']	6.0	nm0001707
2960	Young Adult	Dec	9	2011	12.0	16.311571	22.750356	/title/tt1625346/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy', 'Drama']	['nm0000234/', 'nm0652663/', 'nm0933940/', 'nm0714147/', 'nm2180792/', 'nm0251708/', 'nm0063592/', 'nm0002148/', 'nm2607692/', 'nm1122158/']	6.4	nm0188669
2961	About Time	Nov	1	2013	12.0	15.323921	89.177486	/title/tt2194499/?ref_=fn_al_tt_1	['English']	['UK', 'Germany', 'France', 'Canada', 'USA']	['Comedy', 'Drama', 'Fantasy']	['nm1727304/', 'nm1046097/', 'nm0631490/', 'nm3575723/', 'nm0242026/', 'nm0179549/', 'nm3992182/', 'nm0390903/', 'nm3053338/', 'nm4465864/']	8.1	nm0886754
2962	Def Jam's How To Be a Player	Aug	6	1997	12.0	14.010363	14.010363	/title/tt0119326/?ref_=fn_al_tt_1	['English']	['UK']	['Comedy']	['nm0004740/', 'nm0221754/', 'nm0903397/', 'nm0005248/', 'nm0250282/', 'nm0394191/', 'nm0424513/', 'nm0432273/', 'nm0424588/', 'nm0331906/']	6.8	nm0318916
2963	Living Out Loud	Oct	30	1998	12.0	12.905901	12.905901	/title/tt0120722/?ref_=fn_al_tt_1	['English', 'Spanish']	['USA']	['Comedy', 'Drama', 'Romance']	['nm0000456/', 'nm0000362/', 'nm0001451/', 'nm0233027/', 'nm0771493/', 'nm0000480/', 'nm0791877/', 'nm0684488/', 'nm0004827/', 'nm0026530/']	6.3	nm0002718
